"Reference","Value","Datasheet","Footprint","Qty","DNP"
"BZ1","Buzzer","","","1",""
"C1,C2,C3,C4","0.1uF","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","4",""
"D0,D1,D2,D3,D4,D5,D6,D7","LED","","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","8",""
"DA1","LEDMerah","","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","1",""
"DB1","LEDHijau","","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","1",""
"J1","Power","","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","1",""
"J2,J3","Analog","","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","2",""
"J4","Digital","","Connector_PinSocket_2.54mm:PinSocket_2x18_P2.54mm_Vertical","1",""
"J5,J6","PWM","","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical,Connector_PinSocket_2.54mm:PinSocket_1x10_P2.54mm_Vertical","2",""
"J7","Communication","","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","1",""
"J8,J9","Conn_01x06","","Connector_JST:JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical","2",""
"J10,J11,J12","Conn_01x04","","Connector_JST:JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical","3",""
"Q0,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10","BSS138","https://www.onsemi.com/pub/Collateral/BSS138-D.PDF","Package_TO_SOT_SMD:SOT-23_Handsoldering","11",""
"R0,R1,R2,R3,R4,R5,R6,R7,R9,R12,R17,R20,R24,R27,R31","1K","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","15",""
"R8,R11,R15,R16,R19,RV1,RV2","10K","","Potentiometer_THT:Potentiometer_Bourns_3386P_Vertical,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","7",""
"R10,R13,R18,R21,R22,R23,R25,R26,R28,R29,R30","1M","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","11",""
"R14","R_Photo","","OptoDevice:R_LDR_5.1x4.3mm_P3.4mm_Vertical","1",""
"SW1,SW2,SW3,SW4","SW_Push","","Button_Switch_THT:SW_PUSH_6mm,SW_PUSH_6mm","4",""
